,lh_bankssts,lh_caudalanteriorcingulate,lh_caudalmiddlefrontal,lh_cuneus,lh_entorhinal,lh_fusiform,lh_inferiorparietal,lh_inferiortemporal,lh_isthmuscingulate,lh_lateraloccipital,lh_lateralorbitofrontal,lh_lingual,lh_medialorbitofrontal,lh_middletemporal,lh_parahippocampal,lh_paracentral,lh_parsopercularis,lh_parsorbitalis,lh_parstriangularis,lh_pericalcarine,lh_postcentral,lh_posteriorcingulate,lh_precentral,lh_precuneus,lh_rostralanteriorcingulate,lh_rostralmiddlefrontal,lh_superiorfrontal,lh_superiorparietal,lh_superiortemporal,lh_supramarginal,lh_frontalpole,lh_temporalpole,lh_transversetemporal,lh_insula,rh_bankssts,rh_caudalanteriorcingulate,rh_caudalmiddlefrontal,rh_cuneus,rh_entorhinal,rh_fusiform,rh_inferiorparietal,rh_inferiortemporal,rh_isthmuscingulate,rh_lateraloccipital,rh_lateralorbitofrontal,rh_lingual,rh_medialorbitofrontal,rh_middletemporal,rh_parahippocampal,rh_paracentral,rh_parsopercularis,rh_parsorbitalis,rh_parstriangularis,rh_pericalcarine,rh_postcentral,rh_posteriorcingulate,rh_precentral,rh_precuneus,rh_rostralanteriorcingulate,rh_rostralmiddlefrontal,rh_superiorfrontal,rh_superiorparietal,rh_superiortemporal,rh_supramarginal,rh_frontalpole,rh_temporalpole,rh_transversetemporal,rh_insula
lh_bankssts,0.0,0.12698725170139685,0.21357765552824418,0.10300796020370429,0.0906509842994869,0.22751326044948048,0.209004316138131,0.18305796064999907,0.10633506095199237,0.13915725180526248,0.17437408767327808,0.13927020949396055,0.11868095361800113,0.1944736204241449,0.17384510776284184,0.1600895846624027,0.17482300181146984,0.09350598792558903,0.12787951342373047,0.08633800836951463,0.1339929993270138,0.16821068729789765,0.23133952153845364,0.22210390471937733,0.14879379950789529,0.14813605104651767,0.23782402172440975,0.1374656642234207,0.23900602740363386,0.1904110304513147,0.05776687629724695,0.07199070507274663,0.17453809756496938,0.1786502560271583,0.2769078091269999,0.12419456942059699,0.22190282946978043,0.09174883228209021,0.08430410160768932,0.24434822192266611,0.18554170571183334,0.1751081529833879,0.12192488554382169,0.14527769574108032,0.1825901065311676,0.13859953335951072,0.13583756904320768,0.18430947708442696,0.1889069016677977,0.20097828573501256,0.23745322080961492,0.09269980314018049,0.15961879693788053,0.09454177781968078,0.13370272148556703,0.1601099084029131,0.21266583302363637,0.22382328467059937,0.1616501232304877,0.16265375817003677,0.254667200642383,0.13464977012499685,0.23812092975947557,0.19196925122064382,0.06980956248825738,0.05582132055411965,0.16504506755013615,0.15677812934118
lh_caudalanteriorcingulate,0.12698725170139685,0.0,0.11208042950952206,0.10268138689811344,0.09273808152575554,0.174295099599848,0.12490338390506679,0.15219055404082674,0.16014132830346123,0.1132795864081689,0.15671040503636435,0.12356447192981537,0.12469308890410571,0.11926557031907489,0.13257012377711921,0.11326708876148182,0.12228389213932632,0.08381981774650982,0.09713683062380202,0.08782436515841718,0.10815434893680874,0.19564124364246813,0.12833326763968447,0.14829771661680835,0.20805461347001927,0.13667184642516145,0.1537825453180221,0.09963082041527148,0.12093433968704423,0.12320223576006875,0.0602529205091914,0.07320844927953886,0.12005457884275747,0.11899450508872757,0.13113049080325614,0.16976811877071316,0.11798558588164612,0.09918584565891521,0.08924079664366696,0.15605360719521827,0.12478279904166709,0.15532145560160815,0.1696069397170954,0.12559380943078596,0.16047393671151441,0.12340442395324094,0.14458819898144845,0.15082428748974996,0.13400726544816768,0.115557907646857,0.1362595653448334,0.09134473185051684,0.10435377571973116,0.10317684019983313,0.10730346994351235,0.21514295254904167,0.1152463467392113,0.13892021392024353,0.19147302730110402,0.14001878576298296,0.13897297275717926,0.10065899203069201,0.10866964181838638,0.12319950631900209,0.0674593677140537,0.0640320102080636,0.10660085382284966,0.12517612189004174
lh_caudalmiddlefrontal,0.21357765552824418,0.11208042950952206,0.0,0.15398759115324046,0.10457897305271267,0.23666407767743658,0.3555325318311322,0.2356677063169008,0.12587533492372577,0.23586846447494217,0.2236232665478535,0.19814014081843712,0.18124701229899393,0.22800192981865552,0.1367872243153326,0.20013819200891536,0.26155403735495986,0.14725023561836714,0.2394572901275909,0.10222945560663334,0.22186603678126612,0.1572672388700894,0.32023434352442776,0.3358593520628083,0.14230291401915013,0.2706400633374774,0.2761409742016999,0.3071056257166361,0.2326516096694169,0.36725859495691654,0.08594242944979372,0.0826336126337276,0.13692657640749062,0.12221764938148325,0.23887414287033376,0.12879539374532706,0.289207556503784,0.13598554386501577,0.10634436206132739,0.2214617647828578,0.3444323188958117,0.21114475385102258,0.13730149433480515,0.2559109335499398,0.20759690505001294,0.21285235776353265,0.18821526705932456,0.23176767834468326,0.15835794195202235,0.2415372412418817,0.26409591812508804,0.1607293915220368,0.26834904677192944,0.11131751759753905,0.23219706521561562,0.15934338250687943,0.29018227102941296,0.2854528044305042,0.15255383818107884,0.30992492070585015,0.2603341493476864,0.3057759587346268,0.1914436174104703,0.27868063082695654,0.09685327811324183,0.058365108819760446,0.1481606097884531,0.10802199744347835
lh_cuneus,0.10300796020370429,0.10268138689811344,0.15398759115324046,0.0,0.09967189960035376,0.12851733721791467,0.1641337753376194,0.18069916167811897,0.14756816094909156,0.2645395889210619,0.16602251628120007,0.2490905597422174,0.1937848307983425,0.1197892403429905,0.10352402563327745,0.18797551762447834,0.15526588226702606,0.1566658536419751,0.17033036641414195,0.15312128925845897,0.2399759074048236,0.12375159721527547,0.1566686064819549,0.16268078470674435,0.11998848126187568,0.1957708350608693,0.14711498684939078,0.20588958958720968,0.1116793857519285,0.1802576485805871,0.13527930959922793,0.07757946382261154,0.08845585096555886,0.08714971978263801,0.12215957452521899,0.11914305065126302,0.14792464402269773,0.2945066612245503,0.12688075168195265,0.1268701420784149,0.17441361904241354,0.15986910740021135,0.15593026278809524,0.23719106453349847,0.16450816823996756,0.26150437052080944,0.17276854440099068,0.17965799959044448,0.11415211296530432,0.1627835843957339,0.13051345605464063,0.18534891207279366,0.1533734330415129,0.15841023599958093,0.244982630134479,0.12279774325311918,0.15186175905142135,0.1554546797839297,0.11349202688919381,0.1876049607099657,0.14355587168445902,0.21103536803031026,0.10666330796110851,0.15456240121551504,0.10634599499174995,0.05633844089483156,0.0999510556727416,0.09206568936148476
lh_entorhinal,0.0906509842994869,0.09273808152575554,0.10457897305271267,0.09967189960035376,0.0,0.1237357546369787,0.11689933175811716,0.17103234009342594,0.11342319625549764,0.13123380654885855,0.14013273932734305,0.11918601225325424,0.12732477086182975,0.17843285136351125,0.1348623758606685,0.11301618029645849,0.13882713590624907,0.1658665739726451,0.1096483744713533,0.06236510141573481,0.11823237982534884,0.09261093875915206,0.12082246766410161,0.11689898101076743,0.10448965079253367,0.112728380101337,0.15361294078556031,0.11241482739891845,0.15042658527526442,0.12517245030899604,0.08799065949322789,0.18115695833668183,0.07771269589719683,0.07746288616946885,0.09196405277254467,0.10487813512008604,0.11760683745568808,0.16214870898349446,0.23995063118071583,0.11942636176625722,0.12396496593192545,0.17709579945225273,0.15303722543635642,0.14892166691481276,0.13843417330523758,0.11784801048619159,0.1394521721483205,0.16219207572007102,0.12595003913237046,0.11750886754108963,0.11738677106836065,0.14616264646568933,0.15090551919633968,0.07215695049032807,0.11914719505965383,0.09912208767681484,0.13966655400383285,0.11241114593411523,0.10838934510933018,0.1291379195737226,0.15896947224025704,0.1276538552090971,0.15731677537994512,0.13587419458530062,0.12686380575705614,0.11694144622703609,0.08128171468719629,0.08201257146853401
lh_fusiform,0.22751326044948048,0.174295099599848,0.23666407767743658,0.12851733721791467,0.1237357546369787,0.0,0.25536990029943757,0.3227549324553619,0.1706206757293156,0.19726147412062678,0.2686990737904541,0.19569643426926422,0.18356991843233647,0.2658548140828762,0.19734254228386125,0.1761272596193348,0.22516908707086988,0.1315069491989834,0.14943152900751547,0.0957570411868678,0.16679619200409015,0.23375805623658402,0.2482488747908713,0.3045459687364494,0.22486616638827908,0.24027368242090247,0.33019819804242806,0.17382740841532424,0.23315755810282335,0.26615154641264066,0.07484614709448646,0.09495891480411006,0.1552192829367098,0.14065554955072038,0.24729694290186496,0.17794744331537618,0.25038093589236193,0.12787830356938998,0.11949069031424969,0.41710565764225715,0.26569168543876864,0.29412361683382876,0.1863605977575688,0.23126040599498732,0.2593856396115716,0.18665280722651398,0.22513900330446834,0.2907647708053921,0.20852109466682717,0.21227381208426419,0.24556040627774528,0.12973382118377144,0.21036854258287094,0.1139959514711473,0.16121241051418625,0.24019780044512934,0.24891347303614067,0.29653317567334064,0.23980394630379998,0.26719079592918354,0.29777895063689414,0.17619588874126368,0.20243758265020928,0.2394986147661572,0.09519255271929575,0.07102246471790483,0.16772596612118454,0.13441846903444593
lh_inferiorparietal,0.209004316138131,0.12490338390506679,0.3555325318311322,0.1641337753376194,0.11689933175811716,0.25536990029943757,0.0,0.2825533540389038,0.13416353857148922,0.27831295055521366,0.26530206144886725,0.205241799865611,0.20403936914953527,0.28079374399549195,0.14402316658175074,0.22767586385716929,0.3036702700336662,0.17614791429727925,0.2604007893393675,0.1012692732265335,0.24043650706230846,0.15951319791709198,0.3087245473401952,0.3599839317514262,0.15549206215303935,0.2831570727138899,0.3437450858673887,0.32108286357284216,0.25133743093782335,0.4629263772400231,0.09661042282124953,0.08870310788035285,0.13992140122964314,0.12591445393750558,0.2680817819896493,0.13602753312889798,0.3692753281309192,0.1660226611880728,0.12420286430274058,0.22838104852779909,0.40740937819737644,0.2498603007214001,0.15332957532038152,0.3052571450213978,0.24556314838004462,0.21596531544030326,0.22167342610143284,0.28412528783976093,0.16029465413165264,0.25813661658249554,0.3293103994867472,0.1809028144113418,0.3308343843654464,0.10927917681941607,0.23799001065609057,0.1635018510048119,0.30149302534478467,0.33290300137715806,0.16248949138934649,0.3446615034353677,0.28117644175573137,0.33144764700060747,0.2041863765846529,0.35903721104153347,0.11226611294346676,0.06205392425509118,0.15583934070377853,0.1158151751429904
lh_inferiortemporal,0.18305796064999907,0.15219055404082674,0.2356677063169008,0.18069916167811897,0.17103234009342594,0.3227549324553619,0.2825533540389038,0.0,0.18490394685982858,0.2702652749622316,0.32233820033812827,0.23480143471435092,0.24812846880519757,0.344583816322691,0.17463888587301934,0.20091908975422645,0.29699719233113514,0.18375558213188942,0.20029308650945707,0.10768174338908035,0.22228341211001412,0.18867279550970562,0.25446649085585704,0.277395639940864,0.1970049557845198,0.2939294375232636,0.3328672029420524,0.21736618476517144,0.24440920814103131,0.31066298302852013,0.10050484895098002,0.11654557002207416,0.1276829774676292,0.12014278049445365,0.2094317236625718,0.17176547220463279,0.24867588559943918,0.2019954774593962,0.17883975411062086,0.2798088475981181,0.29834948877631123,0.376031956248718,0.2226848979734925,0.30039704100827114,0.32157698731254325,0.23829265138816083,0.2936988316846293,0.375569145314816,0.18800639496240543,0.2146691169201711,0.25454470968870263,0.21113997457444283,0.26464872606815154,0.12872132745325643,0.21689087177154515,0.19919689991267447,0.28088028989834984,0.28180953870951475,0.19678671879218476,0.3279217283569332,0.31296938865369456,0.2452931034460371,0.2282578681509812,0.30351230010347635,0.12110892522253891,0.0786545491550773,0.1373363581106751,0.11832323370717984
lh_isthmuscingulate,0.10633506095199237,0.16014132830346123,0.12587533492372577,0.14756816094909156,0.11342319625549764,0.1706206757293156,0.13416353857148922,0.18490394685982858,0.0,0.16997891612555135,0.17667203937203096,0.17551256468892046,0.1666497834277295,0.13613298717324032,0.12567339762616545,0.16051080612712942,0.14658117651914748,0.11940958341986588,0.12559134398604574,0.11491535361077555,0.15249800222075655,0.2110366153384611,0.1518600511987861,0.15665651069491907,0.19563709251252484,0.18163281105044068,0.1548476650679662,0.1370642502721612,0.12086773882571168,0.14165678178064056,0.07653745656942251,0.08249992550711742,0.09664368019705052,0.0983619510091638,0.12010709688636505,0.1885454896656592,0.1338828523732878,0.15851160281322715,0.12145689227412687,0.15780670218506118,0.14927640038971698,0.16369469412200027,0.3112015093639589,0.189333601676159,0.18055716111520537,0.17073227058388404,0.18648066661374854,0.17037148593440887,0.1380053048984347,0.1375284332871668,0.1216876134001252,0.1319932691684592,0.1290269677484671,0.1338583305567703,0.15611528348980666,0.20906156074678675,0.140163151722336,0.1542903543895765,0.1577351314604313,0.18238682280425078,0.14585177723244833,0.13523651008264953,0.11220484576475794,0.1408812659958634,0.07756733640274359,0.06309386755626399,0.10371072958497261,0.1064771888962553
lh_lateraloccipital,0.13915725180526248,0.1132795864081689,0.23586846447494217,0.2645395889210619,0.13123380654885855,0.19726147412062678,0.27831295055521366,0.2702652749622316,0.16997891612555135,0.0,0.24227865520191996,0.2811566911783987,0.22337733446782304,0.18898676152537294,0.12518744121811126,0.23388982389663251,0.2255734265421565,0.18104646571475352,0.20901096523439527,0.13639504674846104,0.2627952237301409,0.14940335002716668,0.2392910624926105,0.2388857479278456,0.14350533655522038,0.2903125067275002,0.23584959224527774,0.2987792152489568,0.16243056354359267,0.275165686049904,0.12257258768017917,0.09215464031916187,0.10863152259691879,0.09813919058004676,0.16774807135118838,0.13935804286166723,0.23502363150203576,0.25022095378404713,0.15994690896010974,0.18750701748032103,0.2762084691709822,0.2364975633929146,0.17961845431632842,0.4168907180052096,0.23304467335966067,0.31121818133615053,0.23639590951957076,0.24360831245416262,0.14104927407844278,0.2284586977595525,0.19162350417681123,0.20692492706358898,0.23329200505579675,0.14493478464350357,0.27575367376243126,0.15292762951554836,0.23708799380461526,0.24001108142759278,0.1402985729893186,0.31731142476956925,0.20521661913939096,0.30808973854189226,0.14655974439309538,0.24356889801723625,0.10729320284188014,0.06292333302382941,0.12710640590925773,0.09484826763370068
