fs_id,subject_id,required_files_ok,missing_files,log_reports_error,manual_surface_qc,final_qc_pass
ds000030_sub-10159,sub-10159,True,,False,PASS,True
ds000030_sub-10171,sub-10171,True,,False,PASS,True
ds000030_sub-10189,sub-10189,True,,False,PASS,True
ds000030_sub-10193,sub-10193,True,,False,PASS,True
ds000030_sub-10206,sub-10206,True,,False,PASS,True
ds000030_sub-10217,sub-10217,True,,False,PASS,True
ds000030_sub-10225,sub-10225,True,,False,PASS,True
ds000030_sub-10227,sub-10227,True,,False,PASS,True
ds000030_sub-10228,sub-10228,True,,False,PASS,True
ds000030_sub-10235,sub-10235,True,,False,PASS,True
ds000030_sub-10249,sub-10249,True,,False,PASS,True
ds000030_sub-10269,sub-10269,True,,False,PASS,True
ds000030_sub-10271,sub-10271,True,,False,PASS,True
ds000030_sub-10273,sub-10273,True,,False,PASS,True
ds000030_sub-10274,sub-10274,True,,False,PASS,True
ds000030_sub-10280,sub-10280,True,,False,PASS,True
ds000030_sub-10290,sub-10290,True,,False,PASS,True
ds000030_sub-10292,sub-10292,True,,False,PASS,True
ds000030_sub-10304,sub-10304,True,,False,PASS,True
ds000030_sub-10316,sub-10316,True,,False,PASS,True
ds000030_sub-10321,sub-10321,True,,False,PASS,True
ds000030_sub-10325,sub-10325,True,,False,PASS,True
ds000030_sub-10329,sub-10329,True,,False,PASS,True
ds000030_sub-10339,sub-10339,True,,False,PASS,True
ds000030_sub-10340,sub-10340,True,,False,PASS,True
ds000030_sub-10345,sub-10345,True,,False,PASS,True
ds000030_sub-10347,sub-10347,True,,False,PASS,True
ds000030_sub-10356,sub-10356,True,,False,PASS,True
ds000030_sub-10361,sub-10361,True,,False,PASS,True
ds000030_sub-10365,sub-10365,True,,False,PASS,True
ds000030_sub-10376,sub-10376,True,,False,PASS,True
ds000030_sub-10377,sub-10377,True,,False,PASS,True
ds000030_sub-10388,sub-10388,True,,False,PASS,True
ds000030_sub-10429,sub-10429,True,,False,PASS,True
ds000030_sub-10438,sub-10438,True,,False,PASS,True
ds000030_sub-10440,sub-10440,True,,False,PASS,True
ds000030_sub-10448,sub-10448,True,,False,PASS,True
ds000030_sub-10455,sub-10455,True,,False,PASS,True
ds000030_sub-10460,sub-10460,True,,False,PASS,True
ds000030_sub-10471,sub-10471,True,,False,PASS,True
ds000030_sub-10478,sub-10478,True,,False,PASS,True
ds000030_sub-10487,sub-10487,True,,False,PASS,True
ds000030_sub-10492,sub-10492,True,,False,PASS,True
ds000030_sub-10506,sub-10506,True,,False,PASS,True
ds000030_sub-10517,sub-10517,True,,False,PASS,True
ds000030_sub-10523,sub-10523,True,,False,PASS,True
ds000030_sub-10524,sub-10524,True,,False,PASS,True
ds000030_sub-10525,sub-10525,True,,False,PASS,True
ds000030_sub-10527,sub-10527,True,,False,PASS,True
ds000030_sub-10530,sub-10530,True,,False,PASS,True
ds000030_sub-10557,sub-10557,True,,False,PASS,True
ds000030_sub-10565,sub-10565,True,,False,PASS,True
ds000030_sub-10570,sub-10570,True,,False,PASS,True
ds000030_sub-10575,sub-10575,True,,False,PASS,True
ds000030_sub-10624,sub-10624,True,,False,PASS,True
ds000030_sub-10629,sub-10629,True,,False,PASS,True
ds000030_sub-10631,sub-10631,True,,False,PASS,True
ds000030_sub-10638,sub-10638,True,,False,PASS,True
ds000030_sub-10668,sub-10668,True,,False,PASS,True
ds000030_sub-10672,sub-10672,True,,False,PASS,True
ds000030_sub-10674,sub-10674,True,,False,PASS,True
ds000030_sub-10678,sub-10678,True,,False,PASS,True
ds000030_sub-10680,sub-10680,True,,False,PASS,True
ds000030_sub-10686,sub-10686,True,,False,PASS,True
ds000030_sub-10692,sub-10692,True,,False,PASS,True
ds000030_sub-10696,sub-10696,True,,False,PASS,True
ds000030_sub-10697,sub-10697,True,,False,PASS,True
ds000030_sub-10704,sub-10704,True,,False,PASS,True
ds000030_sub-10707,sub-10707,True,,False,PASS,True
ds000030_sub-10708,sub-10708,True,,False,PASS,True
ds000030_sub-10719,sub-10719,True,,False,PASS,True
ds000030_sub-10724,sub-10724,True,,False,PASS,True
ds000030_sub-10746,sub-10746,True,,False,PASS,True
ds000030_sub-10762,sub-10762,True,,False,PASS,True
ds000030_sub-10779,sub-10779,True,,False,PASS,True
ds000030_sub-10785,sub-10785,True,,False,PASS,True
ds000030_sub-10788,sub-10788,True,,False,PASS,True
ds000030_sub-10844,sub-10844,True,,False,PASS,True
ds000030_sub-10855,sub-10855,True,,False,PASS,True
ds000030_sub-10871,sub-10871,True,,False,PASS,True
ds000030_sub-10877,sub-10877,True,,False,PASS,True
ds000030_sub-10882,sub-10882,True,,False,PASS,True
ds000030_sub-10891,sub-10891,True,,False,PASS,True
ds000030_sub-10893,sub-10893,True,,False,PASS,True
ds000030_sub-10912,sub-10912,True,,False,PASS,True
ds000030_sub-10934,sub-10934,True,,False,PASS,True
ds000030_sub-10940,sub-10940,True,,False,PASS,True
ds000030_sub-10948,sub-10948,True,,False,PASS,True
ds000030_sub-10949,sub-10949,True,,False,PASS,True
ds000030_sub-10958,sub-10958,True,,False,PASS,True
ds000030_sub-10963,sub-10963,True,,False,PASS,True
ds000030_sub-10968,sub-10968,True,,False,PASS,True
ds000030_sub-10975,sub-10975,True,,False,PASS,True
ds000030_sub-10977,sub-10977,True,,False,PASS,True
ds000030_sub-10987,sub-10987,True,,False,PASS,True
ds000030_sub-10998,sub-10998,True,,False,PASS,True
ds000030_sub-11019,sub-11019,True,,False,PASS,True
ds000030_sub-11030,sub-11030,True,,False,PASS,True
ds000030_sub-11044,sub-11044,True,,False,PASS,True
ds000030_sub-11050,sub-11050,True,,False,PASS,True
